method,N,threads,time_ms,gflops
Sequential,500,1,187.75,1.33
OpenMP,500,1,76.01,3.29
OpenBLAS,500,1,0.76,327.80
MKL,500,1,132.08,1.89
Sequential,500,2,132.64,1.88
OpenMP,500,2,51.12,4.89
OpenBLAS,500,2,0.89,279.75
MKL,500,2,132.13,1.89
Sequential,500,4,132.24,1.89
OpenMP,500,4,33.47,7.47
OpenBLAS,500,4,0.88,282.81
MKL,500,4,131.99,1.89
Sequential,500,8,132.35,1.89
OpenMP,500,8,20.27,12.33
OpenBLAS,500,8,1.04,240.15
MKL,500,8,164.53,1.52
Sequential,500,16,145.11,1.72
OpenMP,500,16,11.67,21.42
OpenBLAS,500,16,1.14,220.14
MKL,500,16,132.13,1.89
Sequential,500,24,132.49,1.89
OpenMP,500,24,8.64,28.93
OpenBLAS,500,24,0.63,398.09
MKL,500,24,132.06,1.89
Sequential,1000,1,1149.54,1.74
OpenMP,1000,1,652.10,3.07
OpenBLAS,1000,1,3.87,517.42
MKL,1000,1,1145.29,1.75
Sequential,1000,2,1140.22,1.75
OpenMP,1000,2,358.00,5.59
OpenBLAS,1000,2,6.08,328.88
MKL,1000,2,1176.48,1.70
Sequential,1000,4,1138.03,1.76
OpenMP,1000,4,172.83,11.57
OpenBLAS,1000,4,5.20,384.79
MKL,1000,4,1150.71,1.74
Sequential,1000,8,1142.06,1.75
OpenMP,1000,8,116.92,17.11
OpenBLAS,1000,8,5.43,368.57
MKL,1000,8,1151.36,1.74
Sequential,1000,16,1146.33,1.74
OpenMP,1000,16,51.48,38.85
OpenBLAS,1000,16,6.91,289.44
MKL,1000,16,1149.86,1.74
Sequential,1000,24,1139.81,1.75
OpenMP,1000,24,66.19,30.21
OpenBLAS,1000,24,7.79,256.68
MKL,1000,24,1109.49,1.80
Sequential,1500,1,4027.58,1.68
OpenMP,1500,1,2280.78,2.96
OpenBLAS,1500,1,9.79,689.55
MKL,1500,1,3890.38,1.74
Sequential,1500,2,3953.28,1.71
OpenMP,1500,2,1012.96,6.66
OpenBLAS,1500,2,14.79,456.29
MKL,1500,2,4008.56,1.68
Sequential,1500,4,3939.70,1.71
OpenMP,1500,4,549.69,12.28
OpenBLAS,1500,4,14.05,480.26
MKL,1500,4,3994.72,1.69
Sequential,1500,8,3996.86,1.69
OpenMP,1500,8,268.32,25.16
OpenBLAS,1500,8,10.73,629.00
MKL,1500,8,3867.19,1.75
Sequential,1500,16,3942.21,1.71
OpenMP,1500,16,224.65,30.05
OpenBLAS,1500,16,14.37,469.76
MKL,1500,16,4043.86,1.67
Sequential,1500,24,3880.78,1.74
OpenMP,1500,24,150.07,44.98
OpenBLAS,1500,24,10.26,657.70
MKL,1500,24,4017.15,1.68
