function_name,matrix_size,num_threads,execution_time_ms,gflops
Sequential,500,1,82.18,3.04
OpenMP_Basic,500,1,82.99,3.01
OpenMP_Collapse,500,1,83.04,3.01
OpenMP_Schedule,500,1,82.67,3.02
Sequential,500,2,85.54,2.92
OpenMP_Basic,500,2,84.15,2.97
OpenMP_Collapse,500,2,82.92,3.01
OpenMP_Schedule,500,2,82.96,3.01
Sequential,500,4,83.83,2.98
OpenMP_Basic,500,4,83.13,3.01
OpenMP_Collapse,500,4,84.04,2.97
OpenMP_Schedule,500,4,82.83,3.02
Sequential,500,8,83.23,3.00
OpenMP_Basic,500,8,83.09,3.01
OpenMP_Collapse,500,8,82.83,3.02
OpenMP_Schedule,500,8,81.89,3.05
Sequential,500,16,83.89,2.98
OpenMP_Basic,500,16,82.48,3.03
OpenMP_Collapse,500,16,81.34,3.07
OpenMP_Schedule,500,16,83.05,3.01
Sequential,500,24,82.24,3.04
OpenMP_Basic,500,24,83.54,2.99
OpenMP_Collapse,500,24,83.53,2.99
OpenMP_Schedule,500,24,83.53,2.99
Sequential,1000,1,737.46,2.71
OpenMP_Basic,1000,1,737.57,2.71
OpenMP_Collapse,1000,1,735.42,2.72
OpenMP_Schedule,1000,1,727.33,2.75
Sequential,1000,2,739.03,2.71
OpenMP_Basic,1000,2,711.05,2.81
OpenMP_Collapse,1000,2,735.35,2.72
OpenMP_Schedule,1000,2,743.80,2.69
Sequential,1000,4,747.45,2.68
OpenMP_Basic,1000,4,750.09,2.67
OpenMP_Collapse,1000,4,752.47,2.66
OpenMP_Schedule,1000,4,755.50,2.65
Sequential,1000,8,749.48,2.67
OpenMP_Basic,1000,8,748.25,2.67
OpenMP_Collapse,1000,8,732.84,2.73
OpenMP_Schedule,1000,8,734.23,2.72
Sequential,1000,16,741.24,2.70
OpenMP_Basic,1000,16,738.06,2.71
OpenMP_Collapse,1000,16,727.25,2.75
OpenMP_Schedule,1000,16,733.80,2.73
Sequential,1000,24,729.73,2.74
OpenMP_Basic,1000,24,722.10,2.77
OpenMP_Collapse,1000,24,723.57,2.76
OpenMP_Schedule,1000,24,718.79,2.78
Sequential,1500,1,2517.57,2.68
OpenMP_Basic,1500,1,2507.71,2.69
OpenMP_Collapse,1500,1,2512.20,2.69
OpenMP_Schedule,1500,1,2509.79,2.69
Sequential,1500,2,2534.38,2.66
OpenMP_Basic,1500,2,2534.31,2.66
OpenMP_Collapse,1500,2,2511.23,2.69
OpenMP_Schedule,1500,2,2510.54,2.69
Sequential,1500,4,2607.00,2.59
OpenMP_Basic,1500,4,2629.04,2.57
OpenMP_Collapse,1500,4,2675.06,2.52
OpenMP_Schedule,1500,4,2718.68,2.48
Sequential,1500,8,2715.35,2.49
OpenMP_Basic,1500,8,2608.42,2.59
OpenMP_Collapse,1500,8,2612.97,2.58
OpenMP_Schedule,1500,8,2562.62,2.63
Sequential,1500,16,2670.43,2.53
OpenMP_Basic,1500,16,2685.39,2.51
OpenMP_Collapse,1500,16,2660.46,2.54
OpenMP_Schedule,1500,16,2623.91,2.57
Sequential,1500,24,2632.45,2.56
OpenMP_Basic,1500,24,2627.00,2.57
OpenMP_Collapse,1500,24,2624.21,2.57
OpenMP_Schedule,1500,24,2623.22,2.57
